model,mileage,one_owner,price
2008,13000.0,Sí,1900000
2009,88000.0,No,1700000
2009,88000.0,No,1850000
2009,88000.0,No,2000000
2009,20000.0,Sí,2200000
2010,20000.0,Sí,1700000
2010,50000.0,No,2300000
2011,45000.0,No,1450000
2011,42000.0,Sí,2200000
2011,41600.0,No,2350000
2011,29850.0,Sí,2390000
2011,21000.0,Sí,2500000
2011,57000.0,No,2700000
2011,37000.0,No,2800000
2011,37000.0,No,2800000
2011,65433.0,Sí,3000000
2011,62000.0,No,3000000
2011,47200.0,No,3400000
2012,23163.0,Sí,500000
2012,91937.0,No,2300000
2012,29000.0,No,2500000
2012,62000.0,No,2850000
2012,57000.0,No,3000000
2012,60000.0,No,3200000
2012,20000.0,Sí,3500000
2012,20000.0,Sí,3500000
2012,76000.0,No,3600000
2012,76000.0,No,3800000
2013,27000.0,No,1900000
2013,27000.0,No,2100000
2013,27000.0,Sí,2400000
2013,62000.0,Sí,2500000
2013,45000.0,No,2700000
2013,50000.0,No,2800000
2013,29903.0,No,2800000
2013,72500.0,Sí,2990000
2013,65000.0,No,3000000
2013,50000.0,No,3000000
2013,50000.0,Sí,3200000
2013,50000.0,No,3200000
2013,56668.0,No,3200000
2013,38000.0,No,3300000
2013,44000.0,Sí,3300000
2013,50000.0,No,3300000
2013,50000.0,Sí,3300000
2013,51000.0,No,3500000
2013,51839.0,No,3500000
2013,51839.0,Sí,3500000
2013,42000.0,Sí,3500000
2013,20000.0,Sí,3600000
2013,24600.0,No,4500000
2014,10000.0,No,2600000
2014,48000.0,No,2700000
2014,31000.0,No,2700000
2014,47600.0,Sí,2750000
2014,26081.0,No,2800000
2014,30000.0,Sí,2800000
2014,11111.0,Sí,2900000
2014,47000.0,No,2900000
2014,63500.0,Sí,3000000
2014,63500.0,Sí,3000000
2014,63500.0,No,3090000
2014,42000.0,No,3100000
2014,42000.0,No,3200000
2014,42000.0,No,3200000
2014,45000.0,Sí,3200000
2014,51000.0,Sí,3300000
2014,45000.0,No,3350000
2014,45000.0,Sí,3400000
2014,73340.0,Sí,3500000
2014,65500.0,Sí,3700000
2014,17600.0,No,3700000
2014,23400.0,Sí,3800000
2014,47000.0,No,3800000
2014,20823.0,No,3800000
2014,20823.0,Sí,4000000
2014,20823.0,Sí,4000000
2014,50000.0,Sí,4000000
2014,42000.0,No,4200000
2014,66884.0,Sí,4300000
2015,44999.0,No,3000000
2015,18440.0,No,3200000
2015,18440.0,No,3200000
2015,74000.0,No,3500000
2015,34000.0,No,3500000
2015,31000.0,Sí,3500000
2015,56000.0,Sí,3500000
2015,56000.0,Sí,3500000
2015,42800.0,No,3600000
2015,47000.0,No,3600000
2015,32000.0,No,3700000
2015,58000.0,Sí,3700000
2015,59000.0,No,3799999
2015,20000.0,Sí,3800000
2015,53200.0,Sí,3800000
2015,59732.0,Sí,3900000
2015,55000.0,No,4000000
2015,55000.0,Sí,4000000
2015,53000.0,No,4000000
2015,52400.0,No,4200000
2015,52400.0,Sí,4200000
2015,52400.0,Sí,4500000
2015,20000.0,Sí,4500000
2016,26000.0,No,2800000
2016,35000.0,Sí,3500000
2016,25000.0,Sí,3500000
2016,33000.0,No,3600000
2016,53000.0,No,3700000
2016,42000.0,Sí,3800000
2016,34500.0,No,3800000
2016,50600.0,No,3850000
2016,56000.0,Sí,3900000
2016,56000.0,Sí,4100000
2016,49000.0,No,4200000
2016,49000.0,No,4200000
2016,49000.0,Sí,4300000
2016,20000.0,No,4300000
2016,20000.0,Sí,4600000
2016,15000.0,Sí,4800000
2016,45000.0,No,5500000
2016,45000.0,No,5800000
2017,45000.0,No,3000000
2017,19000.0,No,3500000
2017,26134.0,No,3900000
2017,19000.0,No,4000000
2017,16000.0,No,4200000
2017,15000.0,No,4200000
2017,36000.0,Sí,4200000
2017,20000.0,Sí,4200000
2017,40000.0,Sí,4200000
2017,33000.0,Sí,4300000
2017,30000.0,No,4500000
2017,19860.0,Sí,4500000
2017,20000.0,No,4600000
2017,27000.0,No,4700000
2017,28000.0,Sí,4950000
2017,28000.0,Sí,4950000
2017,15400.0,Sí,5500000
2017,28700.0,Sí,5500000
2018,15000.0,No,4300000
2018,56000.0,No,4300000
2018,31000.0,No,4400000
2018,17266.0,Sí,4800000
2018,31000.0,Sí,5000000
2018,23772.0,No,5000000
2018,27500.0,Sí,5100000
2018,24000.0,Sí,5100000
2018,9037.0,No,5200000
2018,47000.0,No,5200000
2018,33000.0,Sí,5400000
2019,28000.0,Sí,4150000
2019,25000.0,Sí,4600000
2019,20000.0,Sí,4900000
2019,14415.0,No,5000000
2019,12000.0,Sí,5050000
2019,25000.0,Sí,5200000
2019,17447.0,Sí,5200000
2019,38000.0,Sí,5300000
2019,26500.0,Sí,5500000
2019,8000.0,Sí,5800000
2019,4571.0,Sí,5800000
2019,25000.0,Sí,6000000
2019,12250.0,Sí,6200000
2020,1551.0,Sí,4500000
2020,18800.0,Sí,5100000
2020,17000.0,Sí,5500000
2020,5500.0,Sí,5700000
2020,9600.0,Sí,5900000
2020,21600.0,Sí,6000000
2020,3798.0,No,6100000
2020,8435.0,Sí,6100000
2020,28000.0,Sí,6200000
2020,5600.0,Sí,6300000
2020,9802.0,Sí,6400000
2020,21900.0,Sí,6500000
2020,3700.0,Sí,6500000
2020,23500.0,No,6500000
2020,23500.0,Sí,6700000
2020,11680.0,No,6900000
2020,17648.0,No,7300000
2020,13900.0,Sí,7300000
2020,19200.0,No,7500000
2020,6216.0,Sí,8500000
2021,13400.0,Sí,6000000
2021,10000.0,Sí,6300000
2021,8000.0,Sí,6300000
2021,3000.0,Sí,7000000
2021,800.0,Sí,7300000
2021,2800.0,Sí,8000000
2021,5000.0,Sí,8300000
2022,1300.0,Sí,6850000
2022,2138.0,Sí,7300000
2022,23000.0,Sí,7400000
2022,632.0,Sí,7500000
2022,3500.0,Sí,8000000
2022,3500.0,Sí,8000000
2022,1000.0,Sí,8200000
